State,X,Y
Andhra Pradesh,-95.0,-182.0
Arunachal Pradesh,290,187
Assam,285,145
Bihar,86,135
Chhattisgarh,-24,9
Goa,-240,-179   
Gujarat,-291,59
Haryana,-170,225
Himachal Pradesh,-153,316
Jharkhand,62,62
Karnataka,-206,-215
Kerala,-180,-305
Madhya Pradesh,-138,45
Maharashtra,-234,-76
Manipur,297,107
Meghalaya,236,128
Mizoram,281,65
Nagaland,320,144
Odisha,27,-32
Punjab,-218,277
Rajasthan,-287,147
Sikkim,156,187
Tamil Nadu,-147,-308
Telangana,-131,-110
Tripura,244,74
Uttar Pradesh,-92,176
Uttarakhand,-115,266
West Bengal,118,52
Andaman and Nicobar Islands,293,-261
Chandigarh,-175,268
Dadra and Nagar Haveli and Daman and Diu,-268,-37
Delhi,-147,212
Jammu and Kashmir,-207,359
Ladakh,-133,371
Lakshadweep,-203,-270
Puducherry,-223,-340
